Repositorio,created_at,updated_at,language,merged_pull_requests,releases,open_issues,closed_issues,closed_issues_percent
openinterpreter/open-interpreter,2023-07-14T07:10:44Z,2025-08-20T18:30:52Z,Python,369,30,228,797,77.76
localstack/localstack,2016-10-25T23:48:03Z,2025-08-20T21:30:55Z,Python,6224,30,239,5757,96.01
alacritty/alacritty,2016-02-18T05:02:30Z,2025-08-20T23:01:30Z,Rust,1882,30,323,5798,94.72
prometheus/prometheus,2012-11-24T11:14:12Z,2025-08-20T23:30:17Z,Go,7612,30,522,5643,91.53
adam-p/markdown-here,2012-05-13T03:27:22Z,2025-08-20T19:26:34Z,JavaScript,27,17,305,324,51.51
mlabonne/llm-course,2023-06-17T22:16:25Z,2025-08-20T23:19:18Z,,1,0,54,30,35.71
rust-lang/rustlings,2015-09-15T02:25:18Z,2025-08-20T22:49:00Z,Rust,911,30,50,686,93.21
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,2025-08-20T21:52:10Z,Java,520,30,1465,4065,73.51
jquery/jquery,2009-04-03T15:20:14Z,2025-08-20T13:17:02Z,JavaScript,811,11,79,2286,96.66
ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,2025-08-20T20:20:04Z,CSS,550,30,28,1062,97.43
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,2025-08-20T20:58:04Z,C#,0,30,0,0,0.0
tldr-pages/tldr,2013-12-08T07:34:43Z,2025-08-20T21:34:58Z,Markdown,0,6,0,0,0.0
angular/angular.js,2010-01-06T00:34:37Z,2025-08-20T15:48:32Z,JavaScript,0,0,0,0,0.0
spring-projects/spring-framework,2010-12-08T04:04:45Z,2025-08-20T21:17:22Z,Java,0,30,0,0,0.0
meta-llama/llama,2023-02-14T09:29:12Z,2025-08-20T19:09:50Z,Python,0,0,0,0,0.0
scrapy/scrapy,2010-02-22T02:01:14Z,2025-08-20T19:49:49Z,Python,0,30,0,0,0.0
FoundationAgents/MetaGPT,2023-06-30T09:04:55Z,2025-08-20T19:24:16Z,Python,0,22,0,0,0.0
nuxt/nuxt,2016-10-26T11:18:47Z,2025-08-20T19:23:14Z,TypeScript,6893,30,780,15882,95.32
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,2025-08-20T18:50:03Z,Shell,2305,0,206,66,24.26
gorhill/uBlock,2015-04-01T17:51:11Z,2025-08-20T22:30:29Z,JavaScript,229,30,13,3431,99.62
FuelLabs/fuel-core,2020-08-27T21:12:14Z,2025-08-20T08:30:24Z,Rust,1553,30,142,970,87.23
rails/rails,2008-04-11T02:19:47Z,2025-08-20T21:24:14Z,Ruby,25089,30,480,17714,97.36
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,2025-08-20T21:34:41Z,JavaScript,786,30,8,1346,99.41
Solido/awesome-flutter,2017-05-07T11:45:27Z,2025-08-20T22:07:52Z,Dart,441,0,0,0,0.0
nocodb/nocodb,2017-10-29T18:51:48Z,2025-08-20T22:49:50Z,TypeScript,5276,30,628,3605,85.16
hiyouga/LLaMA-Factory,2023-05-28T10:09:12Z,2025-08-20T21:37:06Z,Python,691,30,585,6735,92.01
zylon-ai/private-gpt,2023-05-02T09:15:31Z,2025-08-20T13:04:57Z,Python,224,10,252,961,79.23
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,2025-08-20T16:41:49Z,JavaScript,0,0,0,0,0.0
jgraph/drawio-desktop,2017-05-25T20:58:42Z,2025-08-20T22:46:13Z,JavaScript,0,30,0,0,0.0
soimort/you-get,2012-08-20T15:53:36Z,2025-08-20T21:51:16Z,Python,0,30,0,0,0.0
FiloSottile/mkcert,2018-06-25T05:33:03Z,2025-08-20T22:03:03Z,Go,0,14,0,0,0.0
traefik/traefik,2015-09-13T19:04:02Z,2025-08-20T19:40:18Z,Go,0,30,0,0,0.0
git/git,2008-07-23T14:21:26Z,2025-08-20T22:36:56Z,C,0,0,0,0,0.0
PlexPt/awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,2025-08-20T20:41:04Z,,0,0,38,58,60.42
gatsbyjs/gatsby,2015-05-21T22:43:05Z,2025-08-20T22:24:13Z,JavaScript,18141,30,215,13903,98.48
vllm-project/vllm,2023-02-09T11:23:20Z,2025-08-20T23:12:34Z,Python,8669,30,1820,8478,82.33
commaai/openpilot,2016-11-24T01:33:30Z,2025-08-20T22:45:10Z,Python,11759,30,128,2929,95.81
azl397985856/leetcode,2018-03-30T09:13:51Z,2025-08-20T00:23:49Z,JavaScript,257,30,9,248,96.5
topjohnwu/Magisk,2016-09-08T12:42:53Z,2025-08-20T23:03:51Z,Kotlin,1607,30,37,6225,99.41
remix-run/react-router,2014-05-16T22:22:51Z,2025-08-20T20:31:54Z,TypeScript,3182,30,100,8042,98.77
ageitgey/face_recognition,2017-03-03T21:52:39Z,2025-08-20T18:42:02Z,Python,94,2,775,595,43.43
ultralytics/yolov5,2020-05-18T03:45:11Z,2025-08-20T20:30:59Z,Python,2206,10,257,9173,97.27
CorentinJ/Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,2025-08-20T15:06:37Z,Python,20,0,205,896,81.38
AntonOsika/gpt-engineer,2023-04-29T12:52:15Z,2025-08-20T22:59:34Z,Python,350,20,0,0,0.0
minio/minio,2015-01-14T19:23:58Z,2025-08-20T23:18:48Z,Go,0,30,0,0,0.0
BurntSushi/ripgrep,2016-03-11T02:02:33Z,2025-08-20T23:08:54Z,Rust,0,30,0,0,0.0
deepfakes/faceswap,2017-12-19T09:44:13Z,2025-08-20T14:29:16Z,Python,0,4,0,0,0.0
toeverything/AFFiNE,2022-07-31T18:45:21Z,2025-08-20T23:09:28Z,TypeScript,0,30,0,0,0.0
pmndrs/zustand,2019-04-09T09:10:06Z,2025-08-20T22:01:32Z,TypeScript,0,30,0,0,0.0
ElemeFE/element,2016-09-03T06:19:26Z,2025-08-20T15:03:00Z,Vue,0,30,0,0,0.0
lencx/ChatGPT,2022-12-07T09:43:02Z,2025-08-20T18:47:17Z,Rust,0,30,0,0,0.0
sharkdp/bat,2018-04-21T10:52:23Z,2025-08-20T20:32:44Z,Rust,0,30,0,0,0.0
golang-standards/project-layout,2017-09-09T16:33:26Z,2025-08-20T17:55:33Z,Makefile,0,0,68,44,39.29
wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,2025-08-20T23:02:25Z,,89,0,20,94,82.46
Textualize/rich,2019-11-10T15:28:09Z,2025-08-20T19:43:52Z,Python,836,30,207,1223,85.52
necolas/normalize.css,2011-05-04T10:20:25Z,2025-08-20T23:30:15Z,CSS,56,0,56,461,89.17
Z4nzu/hackingtool,2020-04-11T09:21:31Z,2025-08-20T21:56:34Z,Python,56,0,52,321,86.06
psf/requests,2011-02-13T18:38:17Z,2025-08-20T20:37:47Z,Python,1578,14,200,3860,95.07
maybe-finance/maybe,2024-01-01T22:23:46Z,2025-08-20T23:17:38Z,Ruby,1073,28,0,0,0.0
pi-hole/pi-hole,2014-06-08T15:02:55Z,2025-08-20T20:43:36Z,Shell,2099,30,37,3043,98.8
withastro/astro,2021-03-15T17:19:47Z,2025-08-20T22:58:29Z,TypeScript,7320,30,148,5414,97.34
meilisearch/meilisearch,2018-04-23T11:45:28Z,2025-08-20T22:59:51Z,Rust,2147,30,209,2096,90.93
PaddlePaddle/PaddleOCR,2020-05-08T10:38:16Z,2025-08-20T21:53:46Z,Python,2948,23,0,0,0.0
FFmpeg/FFmpeg,2011-04-14T14:12:38Z,2025-08-20T22:17:45Z,C,0,0,0,0,0.0
appwrite/appwrite,2019-04-08T16:36:25Z,2025-08-20T22:50:37Z,TypeScript,0,30,0,0,0.0
rclone/rclone,2014-03-16T16:19:57Z,2025-08-20T22:56:01Z,Go,0,30,0,0,0.0
rust-unofficial/awesome-rust,2014-07-17T10:45:10Z,2025-08-20T21:53:02Z,Rust,0,0,0,0,0.0
tiimgreen/github-cheat-sheet,2014-04-12T16:38:42Z,2025-08-20T23:02:16Z,,0,0,0,0,0.0
ionic-team/ionic-framework,2013-08-20T23:06:02Z,2025-08-20T20:19:20Z,TypeScript,0,30,0,0,0.0
google/material-design-icons,2014-10-08T18:01:28Z,2025-08-20T18:45:01Z,,0,16,0,0,0.0
wagoodman/dive,2018-05-13T15:44:01Z,2025-08-20T23:00:03Z,Go,0,28,0,0,0.0
mozilla/pdf.js,2011-04-26T06:32:03Z,2025-08-20T21:38:06Z,JavaScript,0,30,0,0,0.0
facebookresearch/segment-anything,2023-03-23T17:03:03Z,2025-08-20T21:02:38Z,Jupyter Notebook,0,0,0,0,0.0
vuejs/core,2018-06-12T13:49:36Z,2025-08-20T20:50:17Z,TypeScript,3222,30,671,5099,88.37
unclecode/crawl4ai,2024-05-09T09:48:50Z,2025-08-20T23:09:59Z,Python,88,8,146,646,81.57
sickcodes/Docker-OSX,2020-06-04T11:01:37Z,2025-08-20T21:58:50Z,Shell,107,0,386,281,42.13
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,2025-08-20T23:14:58Z,JavaScript,353,30,967,5268,84.49
JetBrains/kotlin,2012-02-13T17:29:58Z,2025-08-20T20:46:16Z,Kotlin,2062,30,0,0,0.0
ngosang/trackerslist,2016-04-24T11:57:57Z,2025-08-20T22:07:58Z,,1,0,6,479,98.76
google/guava,2014-05-29T16:23:17Z,2025-08-20T14:49:54Z,Java,1013,30,628,2992,82.65
marktext/marktext,2017-11-12T16:05:25Z,2025-08-20T22:15:43Z,JavaScript,936,30,1276,1637,56.2
laurent22/joplin,2017-01-16T21:49:41Z,2025-08-20T22:50:38Z,TypeScript,4393,30,540,6699,92.54
prettier/prettier,2016-11-29T17:13:37Z,2025-08-20T15:13:48Z,JavaScript,8871,30,1220,5736,82.46
OpenBB-finance/OpenBB,2020-12-20T10:46:38Z,2025-08-20T23:22:49Z,Python,0,30,0,0,0.0
starship/starship,2019-04-02T03:23:12Z,2025-08-20T23:08:52Z,Rust,0,30,0,0,0.0
romkatv/powerlevel10k,2019-02-24T19:09:45Z,2025-08-20T23:19:11Z,Shell,0,30,0,0,0.0
jekyll/jekyll,2008-10-20T06:29:03Z,2025-08-20T21:52:25Z,Ruby,0,30,0,0,0.0
xai-org/grok-1,2024-03-17T08:53:38Z,2025-08-20T14:01:58Z,Python,0,0,0,0,0.0
TryGhost/Ghost,2013-05-04T11:09:13Z,2025-08-20T23:17:37Z,JavaScript,0,30,0,0,0.0
go-gitea/gitea,2016-11-01T02:13:26Z,2025-08-20T22:11:14Z,Go,0,30,0,0,0.0
DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,2025-08-20T20:13:18Z,TypeScript,0,1,0,0,0.0
RVC-Boss/GPT-SoVITS,2024-01-14T18:05:21Z,2025-08-20T14:39:43Z,Python,0,4,714,1177,62.24
WerWolv/ImHex,2020-11-10T14:27:00Z,2025-08-20T23:00:14Z,C++,670,30,236,1180,83.33
etcd-io/etcd,2013-07-06T21:57:21Z,2025-08-20T23:00:05Z,Go,9781,30,181,6819,97.41
pocketbase/pocketbase,2022-07-05T06:06:21Z,2025-08-20T23:18:04Z,Go,53,30,18,1819,99.02
firstcontributions/first-contributions,2016-09-20T14:35:09Z,2025-08-20T22:18:18Z,,85099,0,24,909,97.43
chinese-poetry/chinese-poetry,2016-09-02T03:32:25Z,2025-08-20T22:36:15Z,JavaScript,135,1,119,92,43.6
jgthms/bulma,2016-01-23T23:48:34Z,2025-08-20T18:18:47Z,CSS,637,22,330,2394,87.89
firecrawl/firecrawl,2024-04-15T21:02:29Z,2025-08-20T23:19:29Z,TypeScript,807,23,153,524,77.4
vsouza/awesome-ios,2014-07-10T16:03:45Z,2025-08-20T21:53:17Z,Swift,2211,0,2,486,99.59
ethereum/go-ethereum,2013-12-26T13:05:46Z,2025-08-20T22:22:51Z,Go,8243,30,202,8279,97.62
cline/cline,2024-07-06T07:28:10Z,2025-08-20T23:24:20Z,TypeScript,1645,30,0,0,0.0
poteto/hiring-without-whiteboards,2017-03-15T05:09:01Z,2025-08-20T21:32:29Z,JavaScript,0,0,0,0,0.0
FoundationAgents/OpenManus,2025-03-06T14:08:14Z,2025-08-20T22:50:43Z,Python,0,3,0,0,0.0
microsoft/autogen,2023-08-18T11:43:45Z,2025-08-20T22:53:28Z,Python,0,30,0,0,0.0
agalwood/Motrix,2018-12-18T11:45:05Z,2025-08-20T21:56:34Z,JavaScript,0,21,0,0,0.0
mastodon/mastodon,2016-02-22T15:01:25Z,2025-08-20T19:08:47Z,Ruby,0,30,0,0,0.0
cypress-io/cypress,2015-03-04T00:46:28Z,2025-08-20T19:39:10Z,TypeScript,0,30,0,0,0.0
justjavac/awesome-wechat-weapp,2016-09-22T20:04:48Z,2025-08-20T16:13:18Z,,0,0,0,0,0.0
Asabeneh/30-Days-Of-Python,2019-11-19T17:24:16Z,2025-08-20T20:36:14Z,Python,0,0,0,0,0.0
NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,2025-08-20T14:51:01Z,JavaScript,62,0,35,53,60.23
AlistGo/alist,2020-12-23T17:40:29Z,2025-08-20T23:21:19Z,Go,849,30,549,3795,87.36
ReactiveX/RxJava,2013-01-08T20:11:48Z,2025-08-20T22:31:09Z,Java,3325,30,12,3159,99.62
PowerShell/PowerShell,2016-01-13T23:41:35Z,2025-08-20T21:38:19Z,C#,7543,30,1104,11911,91.52
dani-garcia/vaultwarden,2018-02-17T22:40:20Z,2025-08-20T22:21:05Z,Rust,993,30,10,2352,99.58
iamkun/dayjs,2018-04-10T09:26:44Z,2025-08-20T18:21:02Z,JavaScript,691,30,922,849,47.94
Mintplex-Labs/anything-llm,2023-06-04T02:29:14Z,2025-08-20T22:51:38Z,JavaScript,1072,20,257,2490,90.64
moment/moment,2011-03-01T02:46:06Z,2025-08-20T17:00:03Z,JavaScript,712,0,243,3911,94.15
Avik-Jain/100-Days-Of-ML-Code,2018-07-05T09:11:43Z,2025-08-20T21:06:44Z,,6,0,0,0,0.0
charlax/professional-programming,2015-11-07T05:07:52Z,2025-08-20T18:53:40Z,Python,39,0,0,29,100.0
algorithm-visualizer/algorithm-visualizer,2016-05-15T00:27:45Z,2025-08-20T17:15:58Z,JavaScript,0,0,0,0,0.0
JuliaLang/julia,2011-04-21T07:01:50Z,2025-08-20T21:13:36Z,Julia,0,30,0,0,0.0
TapXWorld/ChinaTextbook,2020-01-05T04:11:06Z,2025-08-20T20:01:42Z,Roff,0,0,0,0,0.0
minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,2025-08-19T20:07:51Z,Python,0,0,0,0,0.0
huginn/huginn,2013-03-10T06:00:31Z,2025-08-20T21:30:15Z,Ruby,0,1,0,0,0.0
nlohmann/json,2013-07-04T08:47:49Z,2025-08-20T20:47:01Z,C++,0,30,0,0,0.0
LadybirdBrowser/ladybird,2024-05-30T09:18:10Z,2025-08-20T23:23:39Z,C++,0,0,0,0,0.0
serverless/serverless,2015-04-21T03:48:40Z,2025-08-20T13:19:20Z,JavaScript,0,30,0,0,0.0
gogs/gogs,2014-02-12T01:57:08Z,2025-08-20T21:49:06Z,Go,0,30,0,0,0.0
karan/Projects,2013-07-04T13:37:27Z,2025-08-20T22:01:06Z,,0,0,0,0,0.0
kamranahmedse/design-patterns-for-humans,2017-02-16T21:24:39Z,2025-08-20T23:21:51Z,,50,0,5,47,90.38
x64dbg/x64dbg,2015-04-11T20:48:23Z,2025-08-20T20:19:12Z,C++,742,4,606,2024,76.96
square/okhttp,2012-07-23T13:42:55Z,2025-08-20T07:49:04Z,Kotlin,3760,0,49,4132,98.83
typescript-cheatsheets/react,2018-06-02T04:08:16Z,2025-08-20T19:22:18Z,JavaScript,367,0,2,220,99.1
pandas-dev/pandas,2010-08-24T01:37:33Z,2025-08-20T21:36:43Z,Python,26882,30,3585,24077,87.04
TanStack/query,2019-09-10T19:23:58Z,2025-08-20T17:16:19Z,TypeScript,2890,30,64,2102,97.05
v2ray/v2ray-core,2015-09-04T11:42:53Z,2025-08-20T21:39:49Z,Go,202,30,8,2583,99.69
type-challenges/type-challenges,2020-07-23T14:33:11Z,2025-08-20T18:25:11Z,TypeScript,588,0,32400,3845,10.61
hashicorp/terraform,2014-03-13T22:25:48Z,2025-08-20T22:13:11Z,Go,12771,30,1737,19672,91.89
dkhamsing/open-source-ios-apps,2015-01-26T23:32:34Z,2025-08-20T21:57:19Z,,1402,30,0,310,100.0
ziishaned/learn-regex,2017-07-22T12:21:03Z,2025-08-20T03:26:18Z,,0,0,0,0,0.0
lllyasviel/Fooocus,2023-08-09T18:43:40Z,2025-08-20T23:17:23Z,Python,0,21,0,0,0.0
slab/quill,2012-07-30T23:23:18Z,2025-08-20T20:22:39Z,TypeScript,0,30,0,0,0.0
lyswhut/lx-music-desktop,2019-08-14T14:31:08Z,2025-08-20T17:06:29Z,TypeScript,0,30,0,0,0.0
bigskysoftware/htmx,2020-04-13T16:17:51Z,2025-08-20T20:27:28Z,JavaScript,0,26,0,0,0.0
jesseduffield/lazydocker,2019-05-18T08:53:50Z,2025-08-20T23:06:48Z,Go,0,30,0,0,0.0
pixijs/pixijs,2013-01-21T22:40:50Z,2025-08-20T23:10:20Z,TypeScript,0,30,0,0,0.0
kelseyhightower/kubernetes-the-hard-way,2016-07-07T14:15:27Z,2025-08-20T21:14:01Z,,0,0,0,0,0.0
jakevdp/PythonDataScienceHandbook,2016-08-10T14:24:36Z,2025-08-20T22:55:03Z,Jupyter Notebook,0,0,0,0,0.0
android/architecture-samples,2016-02-05T13:42:07Z,2025-08-20T19:40:41Z,Kotlin,0,0,0,0,0.0
brillout/awesome-react-components,2016-06-24T15:19:33Z,2025-08-20T20:48:11Z,,0,0,0,44,100.0
skylot/jadx,2013-03-18T17:08:21Z,2025-08-20T21:18:39Z,Java,577,30,389,1529,79.72
odoo/odoo,2014-05-13T15:38:58Z,2025-08-20T22:42:28Z,Python,6177,0,3289,15107,82.12
typst/typst,2019-09-24T21:41:56Z,2025-08-20T22:36:57Z,Rust,1815,22,907,2568,73.9
jestjs/jest,2013-12-10T00:18:04Z,2025-08-20T18:05:19Z,TypeScript,5691,30,254,7861,96.87
Asabeneh/30-Days-Of-JavaScript,2019-12-23T14:07:40Z,2025-08-20T08:42:11Z,JavaScript,98,0,115,59,33.91
ColorlibHQ/AdminLTE,2013-12-25T02:52:40Z,2025-08-20T19:06:48Z,CSS,1543,30,144,2746,95.02
serhii-londar/open-source-mac-os-apps,2017-11-03T02:35:33Z,2025-08-20T21:53:42Z,,520,0,50,161,76.3
dbeaver/dbeaver,2015-10-21T08:26:28Z,2025-08-20T19:23:38Z,Java,6093,30,3041,16312,84.29
discourse/discourse,2013-01-12T00:25:55Z,2025-08-20T23:17:25Z,Ruby,30009,0,0,0,0.0
akullpp/awesome-java,2014-07-09T10:12:43Z,2025-08-20T21:53:52Z,,710,0,0,0,0.0
oobabooga/text-generation-webui,2022-12-21T04:17:37Z,2025-08-20T22:32:04Z,Python,0,30,0,0,0.0
meteor/meteor,2012-01-19T01:58:17Z,2025-08-20T13:07:24Z,JavaScript,0,0,0,0,0.0
dypsilon/frontend-dev-bookmarks,2013-06-22T13:23:55Z,2025-08-20T22:51:57Z,,0,1,0,0,0.0
ultralytics/ultralytics,2022-09-11T16:39:45Z,2025-08-20T20:47:53Z,Python,0,30,0,0,0.0
Homebrew/brew,2016-03-06T05:08:38Z,2025-08-20T22:41:27Z,Ruby,0,30,0,0,0.0
google/zx,2021-05-05T05:50:01Z,2025-08-20T17:59:51Z,JavaScript,0,30,0,0,0.0
coollabsio/coolify,2021-01-25T20:54:01Z,2025-08-20T22:41:44Z,PHP,0,30,0,0,0.0
unslothai/unsloth,2023-11-29T16:50:09Z,2025-08-20T23:24:04Z,Python,0,16,0,0,0.0
termux/termux-app,2015-10-23T09:42:46Z,2025-08-20T21:01:01Z,Java,0,30,0,0,0.0
vercel/hyper,2016-07-01T06:01:21Z,2025-08-20T21:32:01Z,TypeScript,0,30,0,0,0.0
isocpp/CppCoreGuidelines,2015-08-19T20:22:52Z,2025-08-20T21:17:00Z,CSS,800,4,247,964,79.6
2dust/v2rayNG,2019-05-15T02:15:31Z,2025-08-20T20:32:36Z,Kotlin,497,30,6,3409,99.82
parcel-bundler/parcel,2017-08-07T16:36:47Z,2025-08-20T13:44:52Z,JavaScript,2588,30,477,5009,91.31
run-llama/llama_index,2022-11-02T04:24:54Z,2025-08-20T23:00:21Z,Python,7007,30,219,6391,96.69
DovAmir/awesome-design-patterns,2018-06-04T17:47:48Z,2025-08-20T21:54:11Z,,29,0,10,5,33.33
astaxie/build-web-application-with-golang,2012-08-02T11:49:35Z,2025-08-20T15:46:26Z,Go,741,0,121,183,60.2
usememos/memos,2021-12-08T15:30:18Z,2025-08-20T20:08:06Z,Go,1796,30,24,2437,99.02
karpathy/nanoGPT,2022-12-28T00:51:12Z,2025-08-20T23:22:47Z,Python,45,0,228,109,32.34
acmesh-official/acme.sh,2015-12-26T12:56:33Z,2025-08-20T16:04:06Z,Shell,1413,30,1079,2239,67.48
react-hook-form/react-hook-form,2019-03-05T23:47:10Z,2025-08-20T21:43:33Z,TypeScript,2071,30,73,4761,98.49
babel/babel,2014-09-28T13:38:23Z,2025-08-20T14:24:10Z,TypeScript,0,30,0,0,0.0
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,2025-08-20T16:49:01Z,Jupyter Notebook,0,0,0,0,0.0
square/retrofit,2010-09-06T21:39:43Z,2025-08-20T19:49:53Z,HTML,0,4,0,0,0.0
microsoft/monaco-editor,2016-06-07T16:56:31Z,2025-08-20T20:44:30Z,JavaScript,0,30,0,0,0.0
jeecgboot/JeecgBoot,2018-11-26T10:40:00Z,2025-08-20T15:54:22Z,Java,0,30,0,0,0.0
FuelLabs/fuels-rs,2021-10-31T22:33:54Z,2025-08-20T01:16:44Z,Rust,0,30,0,0,0.0
FuelLabs/fuels-ts,2021-09-03T18:11:03Z,2025-08-20T09:13:06Z,TypeScript,0,30,0,0,0.0
prisma/prisma,2019-06-20T13:33:47Z,2025-08-20T16:57:14Z,TypeScript,0,30,0,0,0.0
grpc/grpc,2014-12-08T18:58:53Z,2025-08-20T22:58:50Z,C++,0,30,0,0,0.0
LeCoupa/awesome-cheatsheets,2017-11-09T02:47:15Z,2025-08-20T23:15:09Z,JavaScript,0,0,0,0,0.0
yangshun/front-end-interview-handbook,2018-01-13T19:40:08Z,2025-08-20T15:49:32Z,MDX,0,0,0,0,0.0
streamich/react-use,2018-10-27T10:16:05Z,2025-08-20T19:21:22Z,TypeScript,0,30,353,244,40.87
Leaflet/Leaflet,2010-09-22T16:57:44Z,2025-08-20T21:54:11Z,JavaScript,3108,30,395,4882,92.51
metabase/metabase,2015-02-02T19:25:47Z,2025-08-20T23:27:25Z,Clojure,34015,30,3582,19463,84.46
RocketChat/Rocket.Chat,2015-05-19T07:36:09Z,2025-08-20T22:04:25Z,TypeScript,14464,30,2577,13773,84.24
pyenv/pyenv,2012-08-31T06:57:52Z,2025-08-20T22:36:06Z,Roff,969,30,53,1805,97.15
GitSquared/edex-ui,2017-01-28T09:35:02Z,2025-08-20T21:18:15Z,JavaScript,398,29,6,553,98.93
FlowiseAI/Flowise,2023-03-31T12:23:09Z,2025-08-20T23:03:27Z,TypeScript,1329,30,615,1629,72.59
sudheerj/reactjs-interview-questions,2018-05-31T17:17:01Z,2025-08-20T23:26:46Z,JavaScript,161,0,3,107,97.27
jellyfin/jellyfin,2018-12-09T06:36:45Z,2025-08-20T23:28:29Z,C#,4816,30,391,6880,94.62
expo/expo,2016-08-15T17:14:25Z,2025-08-20T22:49:43Z,TypeScript,17902,0,432,16529,97.45
ggml-org/whisper.cpp,2022-09-25T18:26:37Z,2025-08-20T22:45:58Z,C++,862,27,0,0,0.0
coreybutler/nvm-windows,2014-09-20T16:37:28Z,2025-08-20T23:13:10Z,Go,0,23,0,0,0.0
Unitech/pm2,2013-05-21T03:25:25Z,2025-08-20T22:03:17Z,JavaScript,0,30,0,0,0.0
ClickHouse/ClickHouse,2016-06-02T08:28:18Z,2025-08-20T22:35:40Z,C++,0,30,0,0,0.0
k88hudson/git-flight-rules,2014-07-22T20:35:09Z,2025-08-20T22:04:28Z,,0,0,0,0,0.0
opendatalab/MinerU,2024-02-29T08:52:34Z,2025-08-20T20:24:59Z,Python,0,30,0,0,0.0
alex/what-happens-when,2013-11-07T04:30:06Z,2025-08-20T21:40:58Z,,0,0,0,0,0.0
coqui-ai/TTS,2020-05-20T15:45:28Z,2025-08-20T22:42:47Z,Python,0,30,0,0,0.0
GokuMohandas/Made-With-ML,2018-11-05T03:44:27Z,2025-08-20T23:04:05Z,Jupyter Notebook,0,0,16,58,78.38
Alamofire/Alamofire,2014-07-31T05:56:19Z,2025-08-20T11:07:22Z,Swift,650,30,42,2757,98.5
faif/python-patterns,2012-06-06T21:02:35Z,2025-08-20T19:47:37Z,Python,267,0,10,83,89.25
Light-City/CPlusPlusThings,2019-07-14T08:45:45Z,2025-08-20T08:58:43Z,C++,72,0,10,218,95.61
astral-sh/ruff,2022-08-09T17:17:44Z,2025-08-20T23:09:15Z,Rust,11164,30,1506,5617,78.86
getsentry/sentry,2010-08-30T22:06:41Z,2025-08-20T18:34:04Z,Python,72711,30,2148,13584,86.35
apache/spark,2014-02-25T08:00:08Z,2025-08-20T23:27:33Z,Scala,8,0,0,0,0.0
apache/airflow,2015-04-13T18:04:58Z,2025-08-20T23:02:08Z,Python,29302,30,1287,11145,89.65
iina/iina,2016-12-19T07:18:45Z,2025-08-20T19:10:43Z,Swift,851,30,1759,2427,57.98
Stability-AI/stablediffusion,2022-11-23T23:59:50Z,2025-08-20T21:01:11Z,Python,17,0,248,76,23.46
Kong/kong,2014-11-17T23:56:08Z,2025-08-20T22:33:32Z,Lua,6474,30,0,0,0.0
yarnpkg/yarn,2016-01-19T17:39:16Z,2025-08-20T13:07:27Z,JavaScript,0,30,0,0,0.0
NaiboWang/EasySpider,2020-07-18T02:41:27Z,2025-08-20T23:03:07Z,JavaScript,0,10,0,0,0.0
freqtrade/freqtrade,2017-05-17T23:48:53Z,2025-08-20T22:10:22Z,Python,0,30,0,0,0.0
spf13/cobra,2013-09-03T20:40:26Z,2025-08-20T21:27:34Z,Go,0,24,0,0,0.0
tldraw/tldraw,2021-05-09T11:48:37Z,2025-08-20T23:16:07Z,TypeScript,0,30,0,0,0.0
mingrammer/diagrams,2020-02-02T15:23:24Z,2025-08-20T19:16:08Z,Python,0,30,0,0,0.0
nolimits4web/swiper,2012-03-14T19:11:45Z,2025-08-20T17:43:17Z,JavaScript,0,30,0,0,0.0
apachecn/ailearning,2017-02-25T08:53:02Z,2025-08-20T14:13:51Z,Python,478,2,3,112,97.39
apache/dubbo,2012-06-19T07:56:02Z,2025-08-20T22:59:13Z,Java,5779,30,800,6474,89.0
bailicangdu/vue2-elm,2016-12-23T01:49:20Z,2025-08-19T06:17:59Z,Vue,21,0,118,512,81.27
bevyengine/bevy,2020-01-18T21:13:55Z,2025-08-20T22:57:27Z,Rust,6184,30,2382,4823,66.94
tw93/Pake,2022-10-14T09:32:57Z,2025-08-20T23:22:17Z,Rust,100,30,48,352,88.0
zai-org/ChatGLM-6B,2023-03-13T12:00:18Z,2025-08-20T14:13:26Z,Python,48,0,557,751,57.42
hpcaitech/ColossalAI,2021-10-28T16:19:44Z,2025-08-20T11:10:02Z,Python,3699,30,427,1298,75.25
dcloudio/uni-app,2018-07-12T08:52:39Z,2025-08-20T22:40:26Z,JavaScript,452,0,690,4231,85.98
AykutSarac/jsoncrack.com,2022-01-30T15:25:18Z,2025-08-20T22:32:29Z,TypeScript,85,22,32,234,87.97
nwjs/nw.js,2012-01-04T06:21:10Z,2025-08-20T21:32:12Z,JavaScript,574,0,922,6477,87.54
